gene	length	distribution
535	3	(prob=0.0002,cumulative=0.1335)
536	6	(prob=0.0004,cumulative=0.1338)
537	18	(prob=0.0011,cumulative=0.1349)
538	11	(prob=0.0006,cumulative=0.1355)
539	3	(prob=0.0002,cumulative=0.1357)
540	8	(prob=0.0005,cumulative=0.1362)
541	10	(prob=0.0006,cumulative=0.1368)
542	12	(prob=0.0007,cumulative=0.1375)
543	13	(prob=0.0008,cumulative=0.1382)
544	6	(prob=0.0004,cumulative=0.1386)
545	10	(prob=0.0006,cumulative=0.1392)
546	15	(prob=0.0009,cumulative=0.1401)
547	5	(prob=0.0003,cumulative=0.1404)
548	7	(prob=0.0004,cumulative=0.1408)
549	8	(prob=0.0005,cumulative=0.1412)
550	8	(prob=0.0005,cumulative=0.1417)
551	7	(prob=0.0004,cumulative=0.1421)
552	10	(prob=0.0006,cumulative=0.1427)
553	3	(prob=0.0002,cumulative=0.1429)
554	4	(prob=0.0002,cumulative=0.1431)
555	11	(prob=0.0006,cumulative=0.1438)
556	2	(prob=0.0001,cumulative=0.1439)
557	5	(prob=0.0003,cumulative=0.1442)
558	13	(prob=0.0008,cumulative=0.1450)
559	6	(prob=0.0004,cumulative=0.1453)
560	9	(prob=0.0005,cumulative=0.1458)
561	9	(prob=0.0005,cumulative=0.1464)
562	4	(prob=0.0002,cumulative=0.1466)
563	3	(prob=0.0002,cumulative=0.1468)
564	6	(prob=0.0004,cumulative=0.1471)
565	2	(prob=0.0001,cumulative=0.1473)
566	6	(prob=0.0004,cumulative=0.1476)
567	6	(prob=0.0004,cumulative=0.1480)
568	5	(prob=0.0003,cumulative=0.1483)
569	8	(prob=0.0005,cumulative=0.1487)
570	10	(prob=0.0006,cumulative=0.1493)
571	10	(prob=0.0006,cumulative=0.1499)
572	5	(prob=0.0003,cumulative=0.1502)
573	6	(prob=0.0004,cumulative=0.1506)
574	4	(prob=0.0002,cumulative=0.1508)
575	3	(prob=0.0002,cumulative=0.1510)
576	6	(prob=0.0004,cumulative=0.1513)
577	10	(prob=0.0006,cumulative=0.1519)
578	6	(prob=0.0004,cumulative=0.1523)
579	9	(prob=0.0005,cumulative=0.1528)
580	7	(prob=0.0004,cumulative=0.1532)
581	4	(prob=0.0002,cumulative=0.1535)
582	7	(prob=0.0004,cumulative=0.1539)
583	3	(prob=0.0002,cumulative=0.1540)
584	9	(prob=0.0005,cumulative=0.1546)
585	8	(prob=0.0005,cumulative=0.1550)
586	5	(prob=0.0003,cumulative=0.1553)
587	9	(prob=0.0005,cumulative=0.1559)
588	9	(prob=0.0005,cumulative=0.1564)
589	11	(prob=0.0006,cumulative=0.1571)
590	8	(prob=0.0005,cumulative=0.1575)
591	14	(prob=0.0008,cumulative=0.1584)
592	8	(prob=0.0005,cumulative=0.1588)
593	4	(prob=0.0002,cumulative=0.1591)
594	13	(prob=0.0008,cumulative=0.1598)
595	9	(prob=0.0005,cumulative=0.1604)
596	5	(prob=0.0003,cumulative=0.1607)
597	13	(prob=0.0008,cumulative=0.1614)
598	3	(prob=0.0002,cumulative=0.1616)
599	3	(prob=0.0002,cumulative=0.1618)
600	6	(prob=0.0004,cumulative=0.1621)
601	7	(prob=0.0004,cumulative=0.1625)
602	4	(prob=0.0002,cumulative=0.1628)
603	11	(prob=0.0006,cumulative=0.1634)
604	6	(prob=0.0004,cumulative=0.1638)
605	10	(prob=0.0006,cumulative=0.1644)
606	11	(prob=0.0006,cumulative=0.1650)
607	9	(prob=0.0005,cumulative=0.1655)
608	8	(prob=0.0005,cumulative=0.1660)
609	10	(prob=0.0006,cumulative=0.1666)
610	8	(prob=0.0005,cumulative=0.1671)
611	7	(prob=0.0004,cumulative=0.1675)
612	8	(prob=0.0005,cumulative=0.1680)
613	7	(prob=0.0004,cumulative=0.1684)
614	8	(prob=0.0005,cumulative=0.1688)
615	7	(prob=0.0004,cumulative=0.1693)
616	9	(prob=0.0005,cumulative=0.1698)
617	10	(prob=0.0006,cumulative=0.1704)
618	13	(prob=0.0008,cumulative=0.1711)
619	12	(prob=0.0007,cumulative=0.1719)
620	8	(prob=0.0005,cumulative=0.1723)
621	10	(prob=0.0006,cumulative=0.1729)
622	8	(prob=0.0005,cumulative=0.1734)
623	8	(prob=0.0005,cumulative=0.1739)
624	8	(prob=0.0005,cumulative=0.1743)
625	7	(prob=0.0004,cumulative=0.1747)
626	3	(prob=0.0002,cumulative=0.1749)
627	6	(prob=0.0004,cumulative=0.1753)
628	6	(prob=0.0004,cumulative=0.1756)
629	3	(prob=0.0002,cumulative=0.1758)
630	5	(prob=0.0003,cumulative=0.1761)
631	6	(prob=0.0004,cumulative=0.1765)
632	8	(prob=0.0005,cumulative=0.1769)
633	4	(prob=0.0002,cumulative=0.1772)
634	8	(prob=0.0005,cumulative=0.1776)
635	6	(prob=0.0004,cumulative=0.1780)
636	7	(prob=0.0004,cumulative=0.1784)
637	4	(prob=0.0002,cumulative=0.1786)
