exon	length	distribution
276	165	(prob=0.0016,cumulative=0.7898)
277	122	(prob=0.0012,cumulative=0.7910)
278	137	(prob=0.0014,cumulative=0.7923)
279	156	(prob=0.0016,cumulative=0.7939)
280	129	(prob=0.0013,cumulative=0.7952)
281	138	(prob=0.0014,cumulative=0.7965)
282	159	(prob=0.0016,cumulative=0.7981)
283	132	(prob=0.0013,cumulative=0.7994)
284	98	(prob=0.0010,cumulative=0.8004)
285	172	(prob=0.0017,cumulative=0.8021)
286	141	(prob=0.0014,cumulative=0.8035)
287	119	(prob=0.0012,cumulative=0.8047)
288	128	(prob=0.0013,cumulative=0.8060)
289	119	(prob=0.0012,cumulative=0.8072)
290	139	(prob=0.0014,cumulative=0.8085)
291	132	(prob=0.0013,cumulative=0.8098)
292	118	(prob=0.0012,cumulative=0.8110)
293	134	(prob=0.0013,cumulative=0.8124)
294	128	(prob=0.0013,cumulative=0.8136)
295	136	(prob=0.0014,cumulative=0.8150)
296	105	(prob=0.0010,cumulative=0.8160)
297	142	(prob=0.0014,cumulative=0.8174)
298	107	(prob=0.0011,cumulative=0.8185)
299	112	(prob=0.0011,cumulative=0.8196)
300	123	(prob=0.0012,cumulative=0.8208)
301	107	(prob=0.0011,cumulative=0.8219)
302	112	(prob=0.0011,cumulative=0.8230)
303	141	(prob=0.0014,cumulative=0.8244)
304	94	(prob=0.0009,cumulative=0.8253)
305	109	(prob=0.0011,cumulative=0.8264)
306	123	(prob=0.0012,cumulative=0.8276)
307	100	(prob=0.0010,cumulative=0.8286)
308	107	(prob=0.0011,cumulative=0.8297)
309	116	(prob=0.0012,cumulative=0.8309)
310	114	(prob=0.0011,cumulative=0.8320)
311	103	(prob=0.0010,cumulative=0.8330)
312	126	(prob=0.0013,cumulative=0.8343)
313	96	(prob=0.0010,cumulative=0.8352)
314	101	(prob=0.0010,cumulative=0.8362)
315	116	(prob=0.0012,cumulative=0.8374)
316	99	(prob=0.0010,cumulative=0.8384)
317	94	(prob=0.0009,cumulative=0.8393)
318	126	(prob=0.0013,cumulative=0.8406)
319	103	(prob=0.0010,cumulative=0.8416)
320	79	(prob=0.0008,cumulative=0.8424)
321	116	(prob=0.0012,cumulative=0.8435)
322	68	(prob=0.0007,cumulative=0.8442)
323	99	(prob=0.0010,cumulative=0.8452)
324	112	(prob=0.0011,cumulative=0.8463)
325	93	(prob=0.0009,cumulative=0.8472)
326	101	(prob=0.0010,cumulative=0.8482)
327	104	(prob=0.0010,cumulative=0.8492)
328	82	(prob=0.0008,cumulative=0.8501)
329	91	(prob=0.0009,cumulative=0.8510)
330	115	(prob=0.0011,cumulative=0.8521)
331	80	(prob=0.0008,cumulative=0.8529)
332	86	(prob=0.0009,cumulative=0.8538)
333	93	(prob=0.0009,cumulative=0.8547)
334	66	(prob=0.0007,cumulative=0.8553)
335	102	(prob=0.0010,cumulative=0.8564)
336	103	(prob=0.0010,cumulative=0.8574)
337	67	(prob=0.0007,cumulative=0.8580)
338	75	(prob=0.0007,cumulative=0.8588)
339	92	(prob=0.0009,cumulative=0.8597)
340	90	(prob=0.0009,cumulative=0.8606)
341	78	(prob=0.0008,cumulative=0.8614)
342	89	(prob=0.0009,cumulative=0.8623)
343	75	(prob=0.0007,cumulative=0.8630)
344	63	(prob=0.0006,cumulative=0.8636)
345	80	(prob=0.0008,cumulative=0.8644)
346	81	(prob=0.0008,cumulative=0.8652)
347	70	(prob=0.0007,cumulative=0.8659)
348	100	(prob=0.0010,cumulative=0.8669)
349	57	(prob=0.0006,cumulative=0.8675)
350	61	(prob=0.0006,cumulative=0.8681)
351	73	(prob=0.0007,cumulative=0.8688)
352	72	(prob=0.0007,cumulative=0.8695)
