intron	length	distribution
397	11	(prob=0.0001,cumulative=0.9039)
398	18	(prob=0.0002,cumulative=0.9042)
399	21	(prob=0.0003,cumulative=0.9044)
400	18	(prob=0.0002,cumulative=0.9046)
401	18	(prob=0.0002,cumulative=0.9048)
402	24	(prob=0.0003,cumulative=0.9051)
403	24	(prob=0.0003,cumulative=0.9054)
404	21	(prob=0.0003,cumulative=0.9057)
405	12	(prob=0.0001,cumulative=0.9058)
406	17	(prob=0.0002,cumulative=0.9060)
407	21	(prob=0.0003,cumulative=0.9063)
408	16	(prob=0.0002,cumulative=0.9065)
409	28	(prob=0.0003,cumulative=0.9068)
410	15	(prob=0.0002,cumulative=0.9070)
411	13	(prob=0.0002,cumulative=0.9071)
412	14	(prob=0.0002,cumulative=0.9073)
413	13	(prob=0.0002,cumulative=0.9074)
414	20	(prob=0.0002,cumulative=0.9077)
415	14	(prob=0.0002,cumulative=0.9079)
416	24	(prob=0.0003,cumulative=0.9081)
417	21	(prob=0.0003,cumulative=0.9084)
418	18	(prob=0.0002,cumulative=0.9086)
419	27	(prob=0.0003,cumulative=0.9089)
420	18	(prob=0.0002,cumulative=0.9091)
421	18	(prob=0.0002,cumulative=0.9094)
422	23	(prob=0.0003,cumulative=0.9096)
423	16	(prob=0.0002,cumulative=0.9098)
424	21	(prob=0.0003,cumulative=0.9101)
425	15	(prob=0.0002,cumulative=0.9103)
426	19	(prob=0.0002,cumulative=0.9105)
427	15	(prob=0.0002,cumulative=0.9107)
428	22	(prob=0.0003,cumulative=0.9109)
429	11	(prob=0.0001,cumulative=0.9111)
430	14	(prob=0.0002,cumulative=0.9112)
431	17	(prob=0.0002,cumulative=0.9114)
432	10	(prob=0.0001,cumulative=0.9116)
433	18	(prob=0.0002,cumulative=0.9118)
434	21	(prob=0.0003,cumulative=0.9120)
435	8	(prob=0.0001,cumulative=0.9121)
436	18	(prob=0.0002,cumulative=0.9123)
437	19	(prob=0.0002,cumulative=0.9126)
438	19	(prob=0.0002,cumulative=0.9128)
439	20	(prob=0.0002,cumulative=0.9130)
440	16	(prob=0.0002,cumulative=0.9132)
441	20	(prob=0.0002,cumulative=0.9135)
442	22	(prob=0.0003,cumulative=0.9137)
443	14	(prob=0.0002,cumulative=0.9139)
444	11	(prob=0.0001,cumulative=0.9140)
445	9	(prob=0.0001,cumulative=0.9141)
